IGPCV;DENOMINACION;PROVINCIA;MUNICIPIO;UTMESTE;UTMNORTE;CODCLASIFICACION;CLASIFICACION;CODCATEGORIA;CATEGORIA
"03.075-9999-000001";"La Villa (Conjunto Histórico Artístico)";"ALICANTE";"CASTELL DE GUADALEST (EL)";"4284662";"743729";1;"Bienes inmuebles 1ª";1;"Conjunto histórico"
"03.075-9999-000004";"Castillo de San José";"ALICANTE";"CASTELL DE GUADALEST (EL)";;;1;"Bienes inmuebles 1ª";;
"03.076-9999-000003";"Cabeçó Petit de l'Estany";"ALICANTE";"GUARDAMAR DEL SEGURA";;;1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.076-9999-000006";"Torre del Descargador";"ALICANTE";"GUARDAMAR DEL SEGURA";"4215272";"706106";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.076-9999-000021";"Castillo de Guardamar del Segura";"ALICANTE";"GUARDAMAR DEL SEGURA";"4218568";"705428";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.076-9999-000023";"Yacimiento ibérico Cabezo Lucero";"ALICANTE";"GUARDAMAR DEL SEGURA";"4218514";"702654";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.076-9999-000026";"Rábita califal de las dunas";"ALICANTE";"GUARDAMAR DEL SEGURA";"4219736";"705976";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.079-9999-000001";"Castillo Viejo. Castell Vell";"ALICANTE";"IBI";"4279300";"710715";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.079-9999-000002";"Castillo Bermejo";"ALICANTE";"IBI";"4278434";"711231";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.081-9999-000001";"Castillo de Aixa";"ALICANTE";"XALÓ";"4294910";"760544";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.082-9999-000004";"Iglesia Parroquial de San Bartolomé Apóstol";"ALICANTE";"XÀBIA";"4298148";"774771";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.082-9999-000005";"Casa forta de la Bardissa";"ALICANTE";"XÀBIA";"4296614";"776368";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.082-9999-000006";"Torre de Ambolo";"ALICANTE";"XÀBIA";"4291580";"779519";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.082-9999-000007";"Torre Bolufer";"ALICANTE";"XÀBIA";"4297486";"775616";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.082-9999-000008";"Torre Capçades";"ALICANTE";"XÀBIA";"4295663";"775105";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.082-9999-000009";"Torre Pelleter o del Pardalet";"ALICANTE";"XÀBIA";"4297727";"775593";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.082-9999-000010";"Torre de Portichol";"ALICANTE";"XÀBIA";"4294398";"779661";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.082-9999-000011";"Torre Torroner";"ALICANTE";"XÀBIA";"4297384";"775208";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.082-9999-000012";"Torre La Granadella";"ALICANTE";"XÀBIA";"4291175";"778100";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.082-9999-000036";"Campana Santa Llúcia del Museu Arqueològic i Etnogràfic de Xàbia";"ALICANTE";"XÀBIA";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.082-9999-000037";"Yacimiento romano Illeta del Portichol";"ALICANTE";"XÀBIA";"4294555";"780697";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.083-9999-000002";"Castillo y murallas de Jijona o Xixona";"ALICANTE";"XIXONA";"4268484";"717112";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.083-9999-000006";"Pantano de Tibi";"ALICANTE";"XIXONA";"4263984";"713167";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.083-9999-000011";"Campana María Auxiliadora, la Torta de la parroquia de la Asunción de Xixona";"ALICANTE";"XIXONA";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.083-9999-000012";"Campana Sant Vicent, la verda de la parroquia de la Asunción de Xixona";"ALICANTE";"XIXONA";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.083-9999-000013";"Campana antiga dels quarts de la parroquia de la Asunción de Xixona";"ALICANTE";"XIXONA";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.084-9999-000001";"Castillo de Perputxent";"ALICANTE";"ORXA (L')";"4303823";"732272";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.084-9999-000002";"Castell de la Barcella";"ALICANTE";"ORXA (L')";"4303784";"729638";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.086-9999-000001";"Castillo de Travadell";"ALICANTE";"MILLENA";"4290783";"728375";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.086-9999-000002";"Torre";"ALICANTE";"MILLENA";"4290358";"729304";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.088-9999-000001";"Castillo (integrado en la iglesia)";"ALICANTE";"MONFORTE DEL CID";"4250352";"698285";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.088-9999-000015";"Escudo de la Casa en la calle Carlos de la Cruz Pujalte";"ALICANTE";"MONFORTE DEL CID";"4250394";"698329";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.089-9999-000003";"Ermita de Santa Bárbara";"ALICANTE";"MONÒVER";"4256783";"688595";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.089-9999-000004";"Castillo de Monóvar";"ALICANTE";"MONÒVER";"4256706";"688768";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.089-9999-000005";"Castellet de Chinorla. Castellet de Xinorla";"ALICANTE";"MONÒVER";"4257349";"686209";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.089-9999-000007";"Escudo de D. Isidro Francisco Fernández de Híjar, Señor de Monòver";"ALICANTE";"MONÒVER";"4256596";"688303";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.090-9999-000002";"Jardín de la finca Casa de Ferraz";"ALICANTE";"MUTXAMEL";"4255068";"722897";1;"Bienes inmuebles 1ª";3;"Jardín histórico"
"03.090-9999-000003";"Jardín y Palacio de Peñacerrada";"ALICANTE";"MUTXAMEL";"4255573";"722515";1;"Bienes inmuebles 1ª";3;"Jardín histórico"
"03.090-9999-000004";"Azud de Mutxamel";"ALICANTE";"MUTXAMEL";"4257621";"721602";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.090-9999-000005";"Iglesia Parroquial de El Salvador";"ALICANTE";"MUTXAMEL";"4254846";"723075";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.090-9999-000006";"Torre Ferraz";"ALICANTE";"MUTXAMEL";"4255090";"722944";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.090-9999-000007";"Torre de Mutxamel";"ALICANTE";"MUTXAMEL";"4254830";"723061";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.090-9999-000008";"Torre de las Paulinas";"ALICANTE";"MUTXAMEL";"4252974";"721859";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.090-9999-000009";"Azud de Sant Joan";"ALICANTE";"MUTXAMEL";"4256832";"723157";1;"Bienes inmuebles 1ª";;
"03.091-9999-000001";"Castillo-Iglesia Parroquial de San Miguel Arcángel";"ALICANTE";"MURLA";"4294129";"753438";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.092-9999-000001";"Escudo de los Alonso de Medina";"ALICANTE";"MURO DE ALCOY";"4295284";"722674";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.092-9999-000002";"Escudo de los Bono";"ALICANTE";"MURO DE ALCOY";"4295613";"722774";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.093-9999-000005";"Castillo de la Mola";"ALICANTE";"NOVELDA";"4253461";"692710";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.093-9999-000009";"Escudo heráldico de los Segura";"ALICANTE";"NOVELDA";"4250963";"695157";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.093-9999-000010";"Escudo de los Sirera";"ALICANTE";"NOVELDA";"4251096";"695317";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.095-9999-000001";"Casa Fuerte de las calles Dénia y Sol";"ALICANTE";"ONDARA";"4301967";"762113";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.095-9999-000002";"Torre del Reloj";"ALICANTE";"ONDARA";"4301990";"762001";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.096-9999-000004";"Casa de l'Hort";"ALICANTE";"ONIL";"4278132";"702444";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.096-9999-000005";"Palacio Fortaleza del Marqués de Dos Aguas e Iglesia de Santiago";"ALICANTE";"ONIL";"4278240";"702474";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.096-9999-000009";"Escudo heráldico de los Pérez de Sarrió";"ALICANTE";"ONIL";"4278404";"702490";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.096-9999-000010";"Escudo heráldico de los Rico Berenguer de Marquina";"ALICANTE";"ONIL";"4278364";"702296";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.096-9999-000011";"Escudo heráldico de los Juan";"ALICANTE";"ONIL";"4278354";"702399";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.096-9999-000012";"Campana Santa Maria i Sant Jaume de la parroquia de San Jaime de Onil";"ALICANTE";"ONIL";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.097-9999-000001";"Castillo de Orba";"ALICANTE";"ORBA";"4295553";"754826";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.098-9999-000019";"Castillo de Orxeta";"ALICANTE";"ORXETA";"4271295";"738963";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.098-9999-000031";"Creu de Terme";"ALICANTE";"ORXETA";"4271721";"738488";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.099-9999-000005";"Tramo de Murallas";"ALICANTE";"ORIHUELA";"4217172";"679835";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.099-9999-000006";"Palmeral de San Antón";"ALICANTE";"ORIHUELA";"4218276";"680636";1;"Bienes inmuebles 1ª";2;"Sitio histórico"
"03.099-9999-000007";"Iglesia Parroquial de Santiago el Mayor";"ALICANTE";"ORIHUELA";"4217514";"679772";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.099-9999-000008";"Biblioteca Pública y Archivo Histórico Fernando de Loaces";"ALICANTE";"ORIHUELA";"4217387";"680154";1;"Bienes inmuebles 1ª";6;"Archivo"
"03.099-9999-000009";"Castillo-Alcazaba de Orihuela";"ALICANTE";"ORIHUELA";"4217895";"680156";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.099-9999-000010";"Palacio Episcopal";"ALICANTE";"ORIHUELA";"4217286";"680096";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.099-9999-000011";"Conjunto Histórico Artístico";"ALICANTE";"ORIHUELA";"4217292";"679796";1;"Bienes inmuebles 1ª";1;"Conjunto histórico"
"03.099-9999-000013";"Convento de Santo Domingo";"ALICANTE";"ORIHUELA";"4217717";"680551";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.099-9999-000014";"Iglesia Catedral del Salvador y Santa María";"ALICANTE";"ORIHUELA";"4217323";"680112";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.099-9999-000015";"Iglesia Parroquial de Santas Justa y Rufina";"ALICANTE";"ORIHUELA";"4217265";"679815";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.099-9999-000016";"Torre Cabo Roig";"ALICANTE";"ORIHUELA";"4198510";"700002";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.099-9999-000025";"Real Monasterio de la Visitación de Santa María";"ALICANTE";"ORIHUELA";"4217199";"679768";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.099-9999-000026";"Santuario de Nuestra Señora de Monserrate";"ALICANTE";"ORIHUELA";"4217671";"679717";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.099-9999-000030";"Los Saladares";"ALICANTE";"ORIHUELA";"4213444";"678548";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.099-9999-000033";"Campana Ave María, de señales del santuario de Monserrate de Orihuela";"ALICANTE";"ORIHUELA";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.099-9999-000034";"Campana de horas de la catedral de El Salvador de Orihuela";"ALICANTE";"ORIHUELA";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.099-9999-000035";"Campana San Jaime, la pequeña de la parroquia de Santiago el Mayor de Orihuela";"ALICANTE";"ORIHUELA";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.099-9999-000036";"Campana la mediana de la parroquia de Santiago el Mayor de Orihuela";"ALICANTE";"ORIHUELA";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.099-9999-000037";"Campana Santo Domingo de la parroquia de San José de la Murada de Orihuela";"ALICANTE";"ORIHUELA";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.099-9999-000038";"Escudos heráldicos en la esquina y en las portadas del palacio del marqués de Rafal";"ALICANTE";"ORIHUELA";"4217391";"680193";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.099-9999-000039";"Gloriosa Enseña del Oriol de la ciudad de Orihuela";"ALICANTE";"ORIHUELA";;;2;"Bienes muebles 1ª";;
"03.099-9999-000040";"La Diablesa";"ALICANTE";"ORIHUELA";;;2;"Bienes muebles 1ª";;
"03.101-9999-000001";"Cova del Comte";"ALICANTE";"PEDREGUER";"4297084";"760428";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.101-9999-000004";"Castillo de l'Ocaive o del Ocaive";"ALICANTE";"PEDREGUER";"4296508";"761849";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.101-9999-000005";"Masía Fortificada Albardaneras";"ALICANTE";"PEDREGUER";"4301072";"764487";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.102-9999-000001";"Recinto Amurallado de Pego";"ALICANTE";"PEGO";"4303299";"750230";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.102-9999-000011";"Castillo de Ambra";"ALICANTE";"PEGO";"4301702";"750787";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.103-9999-000015";"Castillo";"ALICANTE";"PENÀGUILA";"4283974";"729362";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.103-9999-000016";"Torre Sena";"ALICANTE";"PENÀGUILA";"4283943";"727720";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.103-9999-000020";"Murallas";"ALICANTE";"PENÀGUILA";"4284526";"729735";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.104-9999-000004";"Acueducto de San Rafael";"ALICANTE";"PETRER";"4262288";"692936";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.104-9999-000005";"Castillo de Petrer";"ALICANTE";"PETRER";"4261908";"694705";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.104-9999-000010";"Finca el Poblet";"ALICANTE";"PETRER";"4263978";"692098";1;"Bienes inmuebles 1ª";2;"Sitio histórico"
"03.106-9999-000001";"Castillo de Margarida";"ALICANTE";"PLANES";"4295676";"734544";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.106-9999-000002";"Castillo de Planes";"ALICANTE";"PLANES";"4296378";"730668";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.107-9999-000004";"Castillo de Polop de la Marina";"ALICANTE";"POLOP";"4278850";"750220";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.107-9999-000006";"Cruz de Término";"ALICANTE";"POLOP";"4278778";"749997";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.112-9999-000001";"Torre Casa Balde";"ALICANTE";"RELLEU";"4269876";"730281";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.112-9999-000002";"Castillo";"ALICANTE";"RELLEU";"4274547";"733929";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.112-9999-000003";"Torre de la Vallonga";"ALICANTE";"RELLEU";"4269178";"730637";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.112-9999-000004";"Casa Fortificada la Garrofera";"ALICANTE";"RELLEU";"4270023";"729420";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.113-9999-000007";"Escudo de los Marbeuf";"ALICANTE";"ROJALES";"4213988";"700509";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.113-9999-000008";"Escudo de los Roca de Togores";"ALICANTE";"ROJALES";"4218080";"699599";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.116-9999-000003";"Los Castillejos";"ALICANTE";"SALINAS";"4265790";"680508";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.116-9999-000005";"Lugar Viejo de Salinas";"ALICANTE";"SALINAS";"4265312";"682795";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.117-9999-000008";"Creu de Terme";"ALICANTE";"SANET Y NEGRALS";"4300817";"757647";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.118-9999-000002";"Yacimiento ibérico la Escuera y el Oral";"ALICANTE";"SAN FULGENCIO";"4222128";"704364";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.119-9999-000004";"Torre de Bonanza";"ALICANTE";"SANT JOAN D'ALACANT";"4253290";"723285";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.119-9999-000006";"Torre de Ansaldo";"ALICANTE";"SANT JOAN D'ALACANT";"4254545";"724005";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.119-9999-000007";"Torre Salafranca";"ALICANTE";"SANT JOAN D'ALACANT";"4253652";"723135";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.119-9999-000008";"Torre de la Cadena";"ALICANTE";"SANT JOAN D'ALACANT";"4251988";"723787";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.120-9999-000001";"Torre de la Marquesa";"ALICANTE";"SAN MIGUEL DE SALINAS";"4208524";"696062";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.121-9999-000040";"Castillo - Fortaleza";"ALICANTE";"SANTA POLA";"4229965";"714148";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.121-9999-000041";"Torre Vigía Tamarit";"ALICANTE";"SANTA POLA";"4229023";"708931";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.121-9999-000042";"Torre Atalayola";"ALICANTE";"SANTA POLA";"4231984";"717687";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.121-9999-000043";"Torre Escaletes";"ALICANTE";"SANTA POLA";"4230067";"716418";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.121-9999-000044";"Torre del Pinet";"ALICANTE";"ELX";"4225599";"707896";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.121-9999-000050";"Yacimiento arqueológico la Picola";"ALICANTE";"SANTA POLA";;;1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.123-9999-000001";"Escudo del Inquisidor don Josef Torreblanca";"ALICANTE";"SAX";"4267911";"690343";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.123-9999-000003";"Castillo";"ALICANTE";"SAX";"4268041";"690261";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.123-9999-000007";"Escudo municipal de la villa de Sax";"ALICANTE";"SAX";"4267831";"690228";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.123-9999-000008";"Colonia de Santa Eulalia";"ALICANTE";"SAX";"4271047";"687275";1;"Bienes inmuebles 1ª";2;"Sitio histórico"
"03.123-9999-000032";"Escudo heráldico de los Saavedra I";"ALICANTE";"SAX";;;1;"Bienes inmuebles 1ª";;
"03.123-9999-000033";"Escudo heráldico de los Saavedra II";"ALICANTE";"SAX";;;1;"Bienes inmuebles 1ª";;
"03.124-9999-000001";"Castillo de Santa Bárbara";"ALICANTE";"SELLA";"4277033";"737533";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.124-9999-000002";"Torre de Sella";"ALICANTE";"SELLA";"4276866";"737531";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.127-9999-000003";"Castillo";"ALICANTE";"TÀRBENA";"4287299";"752574";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.128-9999-000001";"Castillo de Moraira";"ALICANTE";"TEULADA";"4286670";"772482";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.128-9999-000002";"Torre del Cap d'Or";"ALICANTE";"TEULADA";"4286462";"774128";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.128-9999-000004";"Iglesia Parroquial de Santa Catalina Mártir";"ALICANTE";"TEULADA";"4291312";"769666";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.128-9999-000044";"Murallas de Teulada";"ALICANTE";"TEULADA";"4291281";"769586";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.128-9999-000045";"Escudo nobiliario de la muralla";"ALICANTE";"TEULADA";"4291319";"769771";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.128-9999-000046";"Dos lápidas con inscripción de fecha en la muralla";"ALICANTE";"TEULADA";"4291321";"769771";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.128-9999-000094";"Teulada Gótica Amurallada";"ALICANTE";"TEULADA";"4291243";"769670";1;"Bienes inmuebles 1ª";1;"Conjunto histórico"
"03.129-9999-000001";"Pantano de Tibi";"ALICANTE";"TIBI";"4264326";"712298";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.129-9999-000002";"Castillo";"ALICANTE";"TIBI";"4266942";"711518";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.132-9999-000001";"Torre de Maçanes";"ALICANTE";"TORRE DE LES MAÇANES (LA)";"4276288";"724808";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.132-9999-000003";"Villa Edelmira";"ALICANTE";"TORRE DE LES MAÇANES (LA)";"4276090";"724818";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.133-9999-000001";"Torre La Mata";"ALICANTE";"TORREVIEJA";"4211340";"706041";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.133-9999-000002";"Torre Cervera o del Moro";"ALICANTE";"TORREVIEJA";"4208537";"706211";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.134-9999-000001";"Poblado Morisco de La Roca";"ALICANTE";"VALL D'ALCALÀ (LA)";"4297445";"736524";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.134-9999-000002";"Poblado Morisco de La Cairola";"ALICANTE";"VALL D'ALCALÀ (LA)";"4295368";"736665";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.134-9999-000003";"Poblado Morisco de El Benialí";"ALICANTE";"VALL D'ALCALÀ (LA)";"4296007";"738184";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.134-9999-000004";"Castillo de la Vall d'Alcalà";"ALICANTE";"VALL D'ALCALÀ (LA)";"4297547";"738621";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.134-9999-000007";"Poblado Morisco de L'Atzuvieta";"ALICANTE";"VALL D'ALCALÀ (LA)";"4298178";"738985";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.135-9999-000002";"Castillo de Vall de Ebo";"ALICANTE";"VALL D'EBO (LA)";"4297798";"745548";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.136-9999-000002";"Castillo de Alcalá o de Benisili";"ALICANTE";"LA VALL DE GALLINERA";"4299183";"736188";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.136-9999-000003";"Castillo de Gallinera o de Benirrama";"ALICANTE";"LA VALL DE GALLINERA";"4302612";"744470";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.136-9999-000012";"Castell d'Alpatró";"ALICANTE";"LA VALL DE GALLINERA";"4300820";"737661";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.137-9999-000001";"Castillo de Laguart";"ALICANTE";"VALL DE LAGUAR (LA)";"4296554";"752550";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.137-9999-000006";"Torre de la Casota";"ALICANTE";"VALL DE LAGUAR (LA)";"4296264";"751396";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.138-9999-000001";"Torre del Blanc de Morell";"ALICANTE";"VERGER (EL)";"4304515";"759990";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.138-9999-000002";"Torre del Comendador";"ALICANTE";"VERGER (EL)";"4303642";"761253";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.138-9999-000005";"Casa Fortificada";"ALICANTE";"VERGER (EL)";"4303540";"761259";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.139-9999-000001";"Yacimiento Arqueológico Subacuático Bou Ferrer";"ALICANTE";"VILA JOIOSA (LA)";"4264350";"743000";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.139-9999-000002";"Conjunto Histórico Artístico";"ALICANTE";"VILA JOIOSA (LA)";"4265486";"741376";1;"Bienes inmuebles 1ª";1;"Conjunto histórico"
"03.139-9999-000003";"Iglesia Parroquial de Nuestra Señora de la Asunción";"ALICANTE";"VILA JOIOSA (LA)";"4265529";"741335";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.139-9999-000004";"Torre de Sant Josep";"ALICANTE";"VILA JOIOSA (LA)";"4266833";"744379";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.139-9999-000005";"Torre d'Aguilo";"ALICANTE";"VILA JOIOSA (LA)";"4267252";"746591";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.139-9999-000006";"Torre La Cruz";"ALICANTE";"VILA JOIOSA (LA)";"4267482";"740201";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.139-9999-000007";"Torre de Baix o de Xauxelles";"ALICANTE";"VILA JOIOSA (LA)";"4267424";"740255";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.139-9999-000008";"Torre Simeón";"ALICANTE";"VILA JOIOSA (LA)";"4266479";"743049";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.139-9999-000009";"Torre La Torreta";"ALICANTE";"VILA JOIOSA (LA)";"4266786";"741208";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.139-9999-000010";"Torre del  Xarco";"ALICANTE";"VILA JOIOSA (LA)";"4263500";"737030";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.139-9999-000011";"Murallas";"ALICANTE";"VILA JOIOSA (LA)";"4265470";"741271";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.139-9999-000012";"Torre de Dalt o de la Era de Soler";"ALICANTE";"VILA JOIOSA (LA)";"4267744";"740192";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.140-9999-000003";"Iglesia Parroquial de Santiago Apóstol";"ALICANTE";"VILLENA";"4278059";"685937";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.140-9999-000004";"Castillo la Atalaya o de los Pacheco";"ALICANTE";"VILLENA";"4278103";"686191";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.140-9999-000006";"Casco antiguo";"ALICANTE";"VILLENA";"4278112";"686075";1;"Bienes inmuebles 1ª";1;"Conjunto histórico"
"03.140-9999-000007";"Santuario de Nuestra Señora de las Virtudes";"ALICANTE";"VILLENA";"4277206";"679905";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.140-9999-000008";"Ayuntamiento (Palacio Municipal)";"ALICANTE";"VILLENA";"4278041";"686012";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.140-9999-000018";"Colonia de Santa Eulália";"ALICANTE";"VILLENA";"4271056";"687275";1;"Bienes inmuebles 1ª";2;"Sitio histórico"
"03.140-9999-000021";"Castillo de Salvatierra";"ALICANTE";"VILLENA";"4278497";"686763";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.140-9999-000024";"Cruz de San Benito";"ALICANTE";"VILLENA";"4277600";"685985";1;"Bienes inmuebles 1ª";4;"Monumento"
